
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 64	 Drop? =False	 Dropout rate= 0.15	 Result= 0.06591436611223167
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 64	 Drop? =False	 Dropout rate= 0.2	 Result= 0.06959768413830882
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 64	 Drop? =False	 Dropout rate= 0.25	 Result= 0.13666437176809734
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 128	 Drop? =True	 Dropout rate= 0.1	 Result= 0.2943682434974701
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 128	 Drop? =True	 Dropout rate= 0.15	 Result= 0.30127413812903747
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 128	 Drop? =True	 Dropout rate= 0.2	 Result= 0.30879783555902524
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 128	 Drop? =True	 Dropout rate= 0.25	 Result= 0.3167669298737005
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 128	 Drop? =False	 Dropout rate= 0.1	 Result= 0.2819533649681211
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 128	 Drop? =False	 Dropout rate= 0.15	 Result= 0.2858169015081807
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 128	 Drop? =False	 Dropout rate= 0.2	 Result= 0.28447135313340033
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 128	 Drop? =False	 Dropout rate= 0.25	 Result= 0.28651518953674615
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 256	 Drop? =True	 Dropout rate= 0.1	 Result= 0.35744241974700514
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 256	 Drop? =True	 Dropout rate= 0.15	 Result= 0.37830075043728806
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 256	 Drop? =True	 Dropout rate= 0.2	 Result= 0.4038744495994505
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 256	 Drop? =True	 Dropout rate= 0.25	 Result= 0.40250031871238034
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 256	 Drop? =False	 Dropout rate= 0.1	 Result= 0.33348621982803706
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 256	 Drop? =False	 Dropout rate= 0.15	 Result= 0.312952460630842
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 256	 Drop? =False	 Dropout rate= 0.2	 Result= 0.31776655816483773
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 256	 Drop? =False	 Dropout rate= 0.25	 Result= 0.3311970074256619
 Activation Function= tanh	 Epochs= 150	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.1	 Result= 0.06201687704088508
 Activation Function= tanh	 Epochs= 150	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.15	 Result= 0.062480837304977284
 Activation Function= tanh	 Epochs= 150	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06318493234528892
 Activation Function= tanh	 Epochs= 150	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.25	 Result= 0.06611306312354817
 Activation Function= tanh	 Epochs= 150	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.1	 Result= 0.06488501863169677
 Activation Function= tanh	 Epochs= 150	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.15	 Result= 0.07069483149549116
 Activation Function= tanh	 Epochs= 150	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.2	 Result= 0.05827984006154811
 Activation Function= tanh	 Epochs= 150	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.25	 Result= 0.0616146436595041
 Activation Function= tanh	 Epochs= 150	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.1	 Result= 0.061922054970520606
 Activation Function= tanh	 Epochs= 150	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.15	 Result= 0.06517358296278535
 Activation Function= tanh	 Epochs= 150	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06498025559160722
 Activation Function= tanh	 Epochs= 150	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.25	 Result= 0.06541332346329029
 Activation Function= tanh	 Epochs= 150	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.1	 Result= 0.05944429835149165
 Activation Function= tanh	 Epochs= 150	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.15	 Result= 0.06995884313721439
 Activation Function= tanh	 Epochs= 150	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.2	 Result= 0.06409717901241684
 Activation Function= tanh	 Epochs= 150	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.25	 Result= 0.060380204653796524
 Activation Function= tanh	 Epochs= 150	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.1	 Result= 0.06326649684565089
 Activation Function= tanh	 Epochs= 150	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.15	 Result= 0.06560222212428125
 Activation Function= tanh	 Epochs= 150	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06533023635710197
 Activation Function= tanh	 Epochs= 150	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.25	 Result= 0.0671569047265801
 Activation Function= tanh	 Epochs= 150	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.1	 Result= 0.06148123761535674
